ISO3,Country,Latitude,Longitude,Planned/ managed camp,Collective center,Individual accommodation (private),Self-settled camp,Reception/ transit camp,Undefined/ unknown,Total,,,,,
CYP,Cyprus,35.126413,33.429859, 	-   , 	-   , 	-   , 	-   , 	-   ," 	3,883 "," 	3,883 ",,,,,
CZE,Czech Rep.,49.817492,15.472962, 	-   , 	-   ," 	2,979 ", 	-   , 	-   , 	-   ," 	2,979 ",,,,,
COD,Dem. Rep. of the Congo,9.007017,38.769789," 	22,784 ", 	-   ," 	90,040 ", 	538 , 	-   , 	-   ," 	113,362 ",,,,,
DEN,Denmark,56.26392,9.501785, 	-   , 	-   , 	-   , 	-   , 	-   ," 	13,170 "," 	13,170 ",,,,,
DJB,Djibouti,11.825138,42.590275," 	19,225 ", 	-   , 	790 , 	-   , 	-   , 	-   ," 	20,015 ",,,,,
DMA,Dominica,15.414999,-61.370976, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
DOM,Dominican Rep.,18.735693,-70.162651, 	-   , 	-   , 	721 , 	-   , 	-   , 	-   , 	721 ,,,,,
ECU,Ecuador,-1.831239,-78.183406, 	-   , 	-   , 	-   , 	-   , 	-   ," 	123,209 "," 	123,209 ",,,,,
ARE,Egypt,26.820553,30.802498, 	345 , 	-   ," 	229,741 ", 	-   , 	-   , 	-   ," 	230,086 ",,,,,
SAL,El Salvador,13.794185,-88.89653, 	-   , 	-   , 	44 , 	-   , 	-   , 	-   , 	44 ,,,,,
EGU,Equatorial Guinea,1.650801,10.267895, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
ERT,Eritrea,15.179384,39.782334," 	3,059 ", 	-   , 	107 , 	-   , 	-   , 	-   ," 	3,166 ",,,,,
EST,Estonia,58.595272,25.013607, 	-   , 	-   , 	70 , 	-   , 	-   , 	-   , 	70 ,,,,,
ETH,Ethiopia,9.145,40.489673," 	393,507 ", 	-   ," 	13,780 "," 	3,122 "," 	23,527 ", 	-   ," 	433,936 ",,,,,
FIJ,Fiji,-17.713371,178.065032, 	-   , 	-   , 	5 , 	-   , 	-   , 	-   , 	5 ,,,,,
FIN,Finland,61.92411,25.748151, 	-   , 	-   , 	-   , 	-   , 	-   ," 	11,252 "," 	11,252 ",,,,,
FRA,France,46.227638,2.213749, 	-   , 	-   , 	-   , 	-   , 	-   ," 	232,487 "," 	232,487 ",,,,,
GAB,Gabon,-0.803689,11.609444, 	-   , 	-   ," 	1,594 ", 	-   , 	-   , 	-   ," 	1,594 ",,,,,
GAM,Gambia,13.443182,-15.310139, 	-   , 	-   ," 	9,563 ", 	-   , 	-   , 	-   ," 	9,563 ",,,,,
GEO,Georgia,42.315407,43.3568919999999, 	-   , 	1 , 	846 , 	-   , 	-   , 	-   , 	847 ,,,,,
GFR,Germany,51.165691,10.451526, 	-   , 	-   ," 	187,567 ", 	-   , 	-   , 	-   ," 	187,567 ",,,,,
GHA,Ghana,7.946527,-1.023194," 	13,311 ", 	-   ," 	4,685 ", 	-   , 	-   , 	685 ," 	18,681 ",,,,,
GRE,Greece,39.074208,21.824312, 	-   , 	-   , 	-   , 	-   , 	-   ," 	3,485 "," 	3,485 ",,,,,
GRN,Grenada,12.1165,-61.679, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
GUA,Guatemala,15.783471,-90.230759, 	-   , 	-   , 	160 , 	-   , 	-   , 	-   , 	160 ,,,,,
GUI,Guinea,9.945587,-9.696645," 	5,923 ", 	-   ," 	2,637 ", 	-   , 	-   , 	-   ," 	8,560 ",,,,,
GNB,Guinea-Bissau,11.803749,-15.180413, 	-   , 	-   ," 	8,535 ", 	-   , 	-   , 	-   ," 	8,535 ",,,,,
GUY,Guyana,4.860416,-58.93018, 	-   , 	-   , 	11 , 	-   , 	-   , 	-   , 	11 ,,,,,
HAI,Haiti,18.971187,-72.285215, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
HON,Honduras,15.199999,-86.241905, 	-   , 	-   , 	16 , 	-   , 	-   , 	-   , 	16 ,,,,,
HUN,Hungary,47.162494,19.503304, 	-   , 	-   , 	-   , 	-   , 	245 ," 	2,195 "," 	2,440 ",,,,,
ICE,Iceland,64.963051,-19.020835, 	-   , 	-   , 	-   , 	-   , 	-   , 	79 , 	79 ,,,,,
IND,India,20.593684,78.96288," 	65,674 ", 	-   ," 	22,721 ", 	-   , 	-   ," 	100,000 "," 	188,395 ",,,,,
INS,Indonesia,-0.789275,113.921327, 	-   ," 	1,786 "," 	1,281 ", 	-   , 	-   , 	139 ," 	3,206 ",,,,,
IRN,"Iran, Islamic Rep. of",32.427908,53.688046," 	28,751 ", 	-   ," 	828,603 ", 	-   , 	-   , 	-   ," 	857,354 ",,,,,
IRQ,Iraq,33.223191,43.679291," 	10,937 ", 	-   ," 	10,300 ", 	-   , 	-   ," 	225,061 "," 	246,298 ",,,,,
IRE,Ireland,53.41291,-8.24389, 	-   , 	-   ," 	6,001 ", 	-   , 	-   , 	-   ," 	6,001 ",,,,,
ISR,Israel,31.046051,34.851612, 	-   , 	-   ," 	48,201 ", 	-   , 	-   , 	-   ," 	48,201 ",,,,,
ITA,Italy,41.87194,12.56738, 	-   , 	-   , 	-   , 	-   , 	-   ," 	76,264 "," 	76,264 ",,,,,
JAM,Jamaica,18.109581,-77.297508, 	-   , 	-   , 	21 , 	-   , 	-   , 	-   , 	21 ,,,,,
JPN,Japan,36.204824,138.252924, 	-   , 	-   ," 	2,584 ", 	-   , 	-   , 	-   ," 	2,584 ",,,,,
JOR,Jordan2,30.585164,36.238414," 	149,060 ", 	-   ," 	492,855 ", 	-   , 	-   , 	-   ," 	641,915 ",,,,,
KAZ,Kazakhstan,48.019573,66.923684, 	-   , 	-   , 	584 , 	-   , 	-   , 	-   , 	584 ,,,,,
KEN,Kenya,-0.023559,37.906193," 	489,191 ", 	-   ," 	45,747 ", 	-   , 	-   , 	-   ," 	534,938 ",,,,,
KUW,Kuwait,29.31166,47.481766, 	-   , 	-   , 	635 , 	-   , 	-   , 	-   , 	635 ,,,,,
KGZ,Kyrgyzstan,41.20438,74.766098, 	-   , 	-   , 	466 , 	-   , 	-   , 	-   , 	466 ,,,,,
